"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Uribe_2013_eowo",12,2,"biomass_root, soil",1,0,0,0,12,6,30,NA,""
"Versini_2013_tmoo",12,5,"biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,12,6,30,NA,""
"Aosaar_2016_bpan",12,3,"biomass_ag, biomass_root, biomass_ag_understory",1,0,0,12,0,11,29,NA,""
"Peichl_2014_cagg",20,5,"BNPP_root, BNPP_root_fine, biomass, biomass_ag, biomass_root",4,0,0,0,0,8,28,NA,""
"Li_1999_ssit",10,2,"biomass_ag, biomass_ag_understory",1,0,0,5,10,5,27.5,NA,""
"Lawrence_2005_baay",9,1,"biomass_ag",1,0,0,0,9,9,27,NA,""
"Anderson-Teixeira_2011_drop",12,3,"biomass_ag, deadwood, soil",4,0,0,0,6,8,26,NA,""
"Araujo-Murakami_2014_tpaa",12,6,"ANPP_woody_branch, ANPP_woody_stem, BNPP_root_coarse, BNPP_root_fine, biomass_ag, BNPP_root",2,0,0,0,12,2,26,NA,""
"Li_2013_cand",12,3,"biomass_ag, biomass_root, biomass_ag_understory",1,0,0,12,0,8,26,NA,""
"Rocha_2014_epac",12,5,"ANPP_woody_branch, ANPP_woody_stem, BNPP_root_coarse, BNPP_root_fine, biomass_ag",2,0,0,0,12,2,26,NA,""
"Kadeba_1991_abpa",10,2,"biomass_ag, biomass_ag_foliage",1,0,0,0,10,5,25,NA,""
"Kominami_2008_baee",10,8,"biomass_ag, delta.agb, BNPP_root_coarse, BNPP_root_fine, deadwood, BNPP_root, biomass, biomass_root",1,0,0,0,10,5,25,NA,""
"USOLTSEV_1995_sbdo",10,2,"biomass_ag, biomass_root",1,0,0,10,0,10,25,NA,""
"Martinez-Sanchez_2015_rbsd",7,1,"biomass_ag",6,0,0,7,7,7,24.5,NA,""
"de Aguiar_2013_dbpd",8,2,"biomass_ag_understory, biomass_ag",1,0,0,8,8,4,24,NA,""
"Deng_2010_rosr",8,2,"biomass_ag, biomass_root",1,0,0,0,8,8,24,NA,""
"Fang_2013_teot",18,6,"biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine, soil",1,0,0,0,0,6,24,NA,""
"Kajimoto_2006_saab",20,5,"biomass_ag_woody, biomass_ag_foliage, biomass_ag, biomass_root_coarse, biomass",3,0,0,0,0,4,24,NA,""
"Khomik_2010_rcos",16,4,"biomass, biomass_ag, biomass_root, soil",4,0,0,0,0,8,24,NA,""
"Klopatek_1998_iopo",9,3,"biomass, biomass_ag, biomass_root",1,0,0,0,9,6,24,NA,""
"Lodhiyal_2003_banp",9,3,"biomass_ag, biomass_root, biomass",1,0,0,0,9,6,24,NA,""
"Morrison_1973_doei",12,1,"biomass_ag",4,0,0,0,0,12,24,NA,""
"Norby_2010_ceof",24,1,"ANPP_woody_stem",1,0,0,0,0,0,24,NA,NA
"Schulze_2000_tcan",72,6,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root",12,6,0,0,12,0,24,NA,NA
"Wang_2013_eofa",24,1,"biomass_root_fine",1,0,0,0,0,0,24,NA,""
"Xu_2012_ados",12,1,"biomass_ag",1,0,0,0,0,12,24,NA,""
"Schulze_1995_aban",15,2,"biomass_ag, biomass_ag_foliage",2,0,0,0,0,8,23,NA,""
"Yu_1999_doae",8,3,"biomass_ag, biomass_root, biomass",2,0,0,0,8,7,23,NA,""
"Mendoza-Ponce_2010_aabb",7,2,"biomass_root, biomass_ag_understory",1,0,0,7,7,5,22.5,NA,""
"Grier_1977_opco",16,3,"biomass_ag, BNPP_root, biomass_root_coarse",2,0,0,0,0,6,22,NA,""
"MacLean_1976_bojp",11,1,"biomass_ag",1,0,0,0,0,11,22,NA,""
"Bermudez_2007_fasr",6,1,"biomass_ag",1,0,0,6,6,6,21,NA,""
"Costa_2014_rasb",6,2,"biomass_root, biomass_ag",1,0,0,6,6,6,21,NA,""
"Huffman_2012_iots",6,1,"biomass_ag",6,0,0,6,6,6,21,NA,""
"Kotto-Same_1997_cdis",6,1,"biomass_ag",2,0,0,6,6,6,21,NA,""
"Linder_1998_nbfj",17,11,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root, biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root",3,0,0,0,0,4,21,NA,""
"Nilsen_2008_tieo",15,5,"biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,0,6,21,NA,""
"Scott_2000_cand",6,2,"biomass_root, biomass_ag",1,0,0,6,6,6,21,NA,""
"Slik_2008_tdcf",6,1,"biomass_ag",2,0,0,6,6,6,21,NA,""
"Cannell_1982_wfba",10,1,"biomass_ag",2,0,0,0,0,10,20,NA,""
"Shaw_2005_aecd",10,1,"biomass_ag",10,0,0,0,0,10,20,NA,""
"Fortier_2015_bcna",9,3,"biomass_root, biomass_ag, biomass_ag_understory",3,0,0,9,0,6,19.5,NA,""
"Linder_1998_nbff",15,6,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root, BNPP_root",2,0,0,0,0,4,19,NA,""
"Rodin_1967_pamc",11,3,"biomass_ag, biomass_root, biomass",2,0,0,0,0,8,19,NA,""
