C.pool,n_data_submitted,EFDB_entry_form,dates_sent_yyyymmdd,Full.Technical.Reference,n_in_EFDB,notes,excluded
Classified otherwise (OTH),1,n_1_Chave_2008_aepa,20211108,"Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",1+,"EFDB has 71 total from this pub, some apparently added by them",
Above-ground biomass [AGB] (AGB),25,n_96_McGarvey_2015_csio,20210915,"McGarvey, J. C., Thompson, J. R., Epstein, H. E., & Shugart, H. H. (2015). Carbon storage in old-growth forests of the Mid-Atlantic: toward better understanding the eastern forest carbon sink. Ecology, 96(2), 311-317. doi:10.1890/14-1154.1",25,,
Classified otherwise (OTH),23,n_96_McGarvey_2015_csio,20210915,"McGarvey, J. C., Thompson, J. R., Epstein, H. E., & Shugart, H. H. (2015). Carbon storage in old-growth forests of the Mid-Atlantic: toward better understanding the eastern forest carbon sink. Ecology, 96(2), 311-317. doi:10.1890/14-1154.1",0,,Litter (OL horizon)
Dead wood [DW] (DWD),25,n_96_McGarvey_2015_csio,20210915,"McGarvey, J. C., Thompson, J. R., Epstein, H. E., & Shugart, H. H. (2015). Carbon storage in old-growth forests of the Mid-Atlantic: toward better understanding the eastern forest carbon sink. Ecology, 96(2), 311-317. doi:10.1890/14-1154.1",25,,
Litter [L] (LIT),23,n_96_McGarvey_2015_csio,20210915,"McGarvey, J. C., Thompson, J. R., Epstein, H. E., & Shugart, H. H. (2015). Carbon storage in old-growth forests of the Mid-Atlantic: toward better understanding the eastern forest carbon sink. Ecology, 96(2), 311-317. doi:10.1890/14-1154.1",23,Organic horizon (O.horizon),
Above-ground biomass [AGB] (AGB),13,n_104_Fleming_1998_conm,20210915,"Fleming, T. L., & Freedman, B. (1998). Conversion of natural, mixed-species forests to conifer plantations: Implications for dead organic matter and carbon storage. Ecoscience, 5(2), 213-221. doi:10.1080/11956860.1998.11682467",?,59 of 104 total from this study,
Classified otherwise (OTH),72,n_104_Fleming_1998_conm,20210915,"Fleming, T. L., & Freedman, B. (1998). Conversion of natural, mixed-species forests to conifer plantations: Implications for dead organic matter and carbon storage. Ecoscience, 5(2), 213-221. doi:10.1080/11956860.1998.11682467",?,59 of 104 total from this study,
Dead wood [DW] (DWD),19,n_104_Fleming_1998_conm,20210915,"Fleming, T. L., & Freedman, B. (1998). Conversion of natural, mixed-species forests to conifer plantations: Implications for dead organic matter and carbon storage. Ecoscience, 5(2), 213-221. doi:10.1080/11956860.1998.11682467",?,59 of 104 total from this study,
Above-ground biomass [AGB] (AGB),342,n_438_Ma_2012_rdri,20210915,"Ma, Z., Peng, C., Zhu, Q., Chen, H., Yu, G., Li, W., ... Zhang, W. (2012). Regional drought-induced reduction in the biomass carbon sink of Canada's boreal forests. Proceedings of the National Academy of Sciences, 109(7), 2423-2427. doi:10.1073/pnas.1111576109",342,,
Classified otherwise (OTH),96,n_438_Ma_2012_rdri,20210915,"Ma, Z., Peng, C., Zhu, Q., Chen, H., Yu, G., Li, W., ... Zhang, W. (2012). Regional drought-induced reduction in the biomass carbon sink of Canada's boreal forests. Proceedings of the National Academy of Sciences, 109(7), 2423-2427. doi:10.1073/pnas.1111576109",96,,
Above-ground biomass [AGB] (AGB),22,n_22_Crowell_1994_vdia,20211012,"Crowell, M., & Freedman, B. (1994). Vegetation development in a hardwood-forest chronosequence in Nova Scotia. Canadian Journal of Forest Research, 24(2), 260-271. doi:10.1139/x94-038",10,,
Above-ground biomass [AGB] (AGB),17,n_28_Manlay_2002_cnap,20211012,"Manlay, R. J., Kair̩, M., Masse, D., Chotte, J.-L., Ciornei, G., & Floret, C. (2002). Carbon, nitrogen and phosphorus allocation in agro-ecosystems of a West African savanna. Agriculture, Ecosystems & Environment, 88(3), 215-232. doi:10.1016/s0167-8809(01)00218-3",0,,all from this study
Classified otherwise (OTH),11,n_28_Manlay_2002_cnap,20211012,"Manlay, R. J., Kair̩, M., Masse, D., Chotte, J.-L., Ciornei, G., & Floret, C. (2002). Carbon, nitrogen and phosphorus allocation in agro-ecosystems of a West African savanna. Agriculture, Ecosystems & Environment, 88(3), 215-232. doi:10.1016/s0167-8809(01)00218-3",0,,all from this study
Above-ground biomass [AGB] (AGB),17,n_28_Manlay_2002_cnap,20220608,"Manlay, R. J., Kair̩, M., Masse, D., Chotte, J.-L., Ciornei, G., & Floret, C. (2002). Carbon, nitrogen and phosphorus allocation in agro-ecosystems of a West African savanna. Agriculture, Ecosystems & Environment, 88(3), 215-232. doi:10.1016/s0167-8809(01)00218-3",0,,all from this study
Classified otherwise (OTH),11,n_28_Manlay_2002_cnap,20220608,"Manlay, R. J., Kair̩, M., Masse, D., Chotte, J.-L., Ciornei, G., & Floret, C. (2002). Carbon, nitrogen and phosphorus allocation in agro-ecosystems of a West African savanna. Agriculture, Ecosystems & Environment, 88(3), 215-232. doi:10.1016/s0167-8809(01)00218-3",0,,all from this study
Above-ground biomass [AGB] (AGB),57,n_57_Tepley_2017_vtfl_CORRECTED,20211012,"Tepley, A. J., Thompson, J. R., Epstein, H. E., & Anderson-Teixeira, K. J. (2017). Vulnerability to forest loss through altered postfire recovery dynamics in a warming climate in the Klamath Mountains. Global Change Biology, 23(10), 4117-4132. doi:10.1111/gcb.13704; Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.",0,,all from this study
Above-ground biomass [AGB] (AGB),8,n_63_Rothstein_2004_laro,20211012,"Rothstein, D. E., Yermakov, Z., & Buell, A. L. (2004). Loss and recovery of ecosystem carbon pools following stand-replacing wildfire in Michigan jack pine forests. Canadian Journal of Forest Research, 34(9), 1908-1918. doi:10.1139/x04-063",8,,
Classified otherwise (OTH),22,n_63_Rothstein_2004_laro,20211012,"Rothstein, D. E., Yermakov, Z., & Buell, A. L. (2004). Loss and recovery of ecosystem carbon pools following stand-replacing wildfire in Michigan jack pine forests. Canadian Journal of Forest Research, 34(9), 1908-1918. doi:10.1139/x04-063",22,,
Dead wood [DW] (DWD),11,n_63_Rothstein_2004_laro,20211012,"Rothstein, D. E., Yermakov, Z., & Buell, A. L. (2004). Loss and recovery of ecosystem carbon pools following stand-replacing wildfire in Michigan jack pine forests. Canadian Journal of Forest Research, 34(9), 1908-1918. doi:10.1139/x04-063",11,,
Litter [L] (LIT),11,n_63_Rothstein_2004_laro,20211012,"Rothstein, D. E., Yermakov, Z., & Buell, A. L. (2004). Loss and recovery of ecosystem carbon pools following stand-replacing wildfire in Michigan jack pine forests. Canadian Journal of Forest Research, 34(9), 1908-1918. doi:10.1139/x04-063",11,,
Soil organic matter - mineral soils [SOM mineral] (OMM),11,n_63_Rothstein_2004_laro,20211012,"Rothstein, D. E., Yermakov, Z., & Buell, A. L. (2004). Loss and recovery of ecosystem carbon pools following stand-replacing wildfire in Michigan jack pine forests. Canadian Journal of Forest Research, 34(9), 1908-1918. doi:10.1139/x04-063",0,,
Above-ground biomass [AGB] (AGB),75,n_75_Ishihara_2016_anmf_CORRECTED,20211012,"Ishihara, M. I., Konno, Y., Umeki, K., Ohno, Y., & Kikuzawa, K. (2016). A New Model for Size-Dependent Tree Growth in Forests. PLOS ONE, 11(4), e0152219. doi:10.1371/journal.pone.0152219",0,,all from this study
Above-ground biomass [AGB] (AGB),2,n_9_Feldpausch_2004_cana,20211012,"Feldpausch, T. R., Rondon, M. A., Fernandes, E. C. M., Riha, S. J., & Wandelli, E. (2004). CARBON AND NUTRIENT ACCUMULATION IN SECONDARY FORESTS REGENERATING ON PASTURES IN CENTRAL AMAZONIA. Ecological Applications, 14(sp4), 164-176. doi:10.1890/01-6015",2-,EFDB has 8 of 9 records for this pub,
